"scenario","zone","DIRV_AM_ends_sum","DIRV_PM_ends_sum","DIRV_AM_starts_sum","DIRV_PM_starts_sum"
"tp1_c_2050_121520",237,605.85,935.55002,928.74,700.69001
"tp1_c_2050_121520",238,1191.54001,704.25,471.4,1126.15005
"tp1_c_2050_121520",318,1864.89996,1544.97003,1214.12,1967.95011
"tp1_c_2050_121520",329,6.34,3,1.69,5.83
"tp1_c_2050_121520",344,722.35001,729.48997,651.31,767.56
"tp1_c_2050_121520",345,128.7,129.88,117.5,135.59999
"tp2_bau_2050_121520",142,1418.42,1853.66,1763.23,1600.3
"tp2_bau_2050_121520",149,2672.10987,1452.42004,909.82999,2690.67999
"tp2_bau_2050_121520",150,486.57,1165.63,1282.26,632.97
"tp2_bau_2050_121520",151,11450.39014,6573.09008,4137.29987,11941.61035
"tp2_bau_2050_121520",152,2429.88,2564.99997,2325.32007,2655.02003
"tp2_bau_2050_121520",153,129.4,485.36,544.61,198.57
"tp2_bau_2050_121520",154,1786.14002,1951.89994,1824.45004,1909.89004
"tp2_bau_2050_121520",155,481.82001,590.35001,544.22,533.53
"tp2_bau_2050_121520",222,1463.35999,921.85001,614.97,1451.05005
"tp2_bau_2050_121520",223,481.35001,276.77,174.13,475.45
"tp2_bau_2050_121520",224,129.92,166.53,155.95,144.67
"tp2_bau_2050_121520",225,10.56,33.18,37.22,16.74
"tp2_bau_2050_121520",226,1070.53,643.24,410.16,1041.44
"tp2_bau_2050_121520",227,3496.88,2296.73,1415.83,3531.35
"tp2_bau_2050_121520",228,303.12,167.92,105.45,296.18
"tp2_bau_2050_121520",229,999.31,571.38,361.58,983.75
"tp2_bau_2050_121520",230,396.54,861.12,932.31,496.83
"tp2_bau_2050_121520",237,605.84001,944.37,934.51001,704.38003
"tp2_bau_2050_121520",238,1185.70003,704.01999,471.49999,1122.61005
"tp2_bau_2050_121520",318,1554.45007,910.17997,595.41998,1526.7199
"tp2_bau_2050_121520",329,6,2.98,1.69,5.61
"tp2_bau_2050_121520",344,720.10999,732.73996,653.74,767.69
"tp2_bau_2050_121520",345,128.40999,130.35,117.93,135.80001
"tp2_c_2050_121520",142,1421.52,1849.99,1759.64,1600.02
"tp2_c_2050_121520",149,2684.91003,1451.92999,909.27997,2699.42993
"tp2_c_2050_121520",150,487.35,1167.3,1282.15,633.76
"tp2_c_2050_121520",151,12816.02002,8305.4303,5756.77978,13631.51001
"tp2_c_2050_121520",152,2862.40992,4379.7699,4423.79999,3333.71997
"tp2_c_2050_121520",153,129.31,486.15,544.33,198.61
"tp2_c_2050_121520",154,1791.12994,1948.68003,1820.63998,1910.69007
"tp2_c_2050_121520",155,483.37001,591.02001,544.13001,534.15001
"tp2_c_2050_121520",222,1468.72003,919.62002,613.13999,1453.17004
"tp2_c_2050_121520",223,482.91,276.25001,173.77,475.82001
"tp2_c_2050_121520",224,129.47,165.34,155.18,143.61
"tp2_c_2050_121520",225,10.48,33.14,37.18,16.77
"tp2_c_2050_121520",226,1144.26,688.25,439.23,1133.1
"tp2_c_2050_121520",227,3743.83,2482.91,1537.2,3812.45
"tp2_c_2050_121520",228,304.85,167.75,105.53,296.91
"tp2_c_2050_121520",229,1003.87,569.69,360.15,985.24
"tp2_c_2050_121520",230,392.23,844.1,921.95,486.96
"tp2_c_2050_121520",237,605.29,933.62002,927.38002,699.59
"tp2_c_2050_121520",238,1192.12995,704.47002,471.41,1126.56994
"tp2_c_2050_121520",318,1864.47004,1545.67999,1214.38001,1968.26998
"tp2_c_2050_121520",329,6.42,3.02,1.68,5.79
"tp2_c_2050_121520",344,721.78,728.17996,650.66002,766.81
"tp2_c_2050_121520",345,128.8,130.11,117.61,135.81999
"tp3_bau_2050_121520",142,1416.59998,1863.3999,1772.79004,1598.63001
"tp3_bau_2050_121520",149,2674.02002,1453.00995,910.16998,2693.71015
"tp3_bau_2050_121520",150,486.15,1167.67,1283.43,632.65
"tp3_bau_2050_121520",151,11495.31031,6634.26014,4178.69019,12007.26001
"tp3_bau_2050_121520",152,2431.66009,2574.66998,2330.51993,2660.67003
"tp3_bau_2050_121520",153,129.57,486.42,545.17,198.96
"tp3_bau_2050_121520",154,1781.87002,1948.19994,1821.74998,1904.97009
"tp3_bau_2050_121520",155,480.75999,589.29,543.39,531.84001
"tp3_bau_2050_121520",222,1464.97998,923.83001,616.15002,1453.02002
"tp3_bau_2050_121520",223,481.78,277.33,174.59,476.10002
"tp3_bau_2050_121520",224,130.06001,166.18,155.94,144.41
"tp3_bau_2050_121520",225,10.54,33.08,37.19,16.62
"tp3_bau_2050_121520",226,1070.6,643.09,410.22,1041.51
"tp3_bau_2050_121520",227,3498.49,2295.62,1415.38,3528.81
"tp3_bau_2050_121520",228,302.87,167.25,105.14,295.32
"tp3_bau_2050_121520",229,1000.25,571.77,361.91,984.43
"tp3_bau_2050_121520",230,392.99,848.16,925.29,489.35
"tp3_bau_2050_121520",237,605.33001,938.25003,931.51996,701.21002
"tp3_bau_2050_121520",238,1185.04001,703.41001,471.01001,1121.74994
"tp3_bau_2050_121520",318,1553.71,908.21002,594.27002,1525.37991
"tp3_bau_2050_121520",329,5.9,3.04,1.65,5.64
"tp3_bau_2050_121520",344,720.26001,731.41996,653.2,767.5
"tp3_bau_2050_121520",345,128.52,130.4,118.07,135.66
"tp3_c_2050_121520",142,1417.95001,1852.30994,1765.26001,1595.07996
"tp3_c_2050_121520",149,2687.21008,1452.84009,909.75996,2703.97998
"tp3_c_2050_121520",150,485.96,1165.73,1281.44,631.63
"tp3_c_2050_121520",151,12872.1604,8383.77014,5809.95014,13721.41968
"tp3_c_2050_121520",152,2854.35999,4355.96014,4411.10007,3321.01004
"tp3_c_2050_121520",153,128.65,484.17,543.31,197.3
"tp3_c_2050_121520",154,1785.91994,1942.59007,1816.64994,1903.57996
"tp3_c_2050_121520",155,481.78002,588.18002,542.06999,531.87
"tp3_c_2050_121520",222,1469.27002,920.59,613.54999,1454.05999
"tp3_c_2050_121520",223,483.64,276.79001,174.21,476.58001
"tp3_c_2050_121520",224,129.59,165.83,155.46999,143.85
"tp3_c_2050_121520",225,10.44,32.95,37.14,16.58
"tp3_c_2050_121520",226,1143.61,688.1,439.18,1132.78
"tp3_c_2050_121520",227,3744.45,2481.48,1535.88,3808.07
"tp3_c_2050_121520",228,304.43,167.42,105.23,296.45
"tp3_c_2050_121520",229,1005.07,570.15,360.67,986.76
"tp3_c_2050_121520",230,392.72,846.46,923.41,488.55
"tp3_c_2050_121520",237,607.51002,938.83002,930.94001,702.71999
"tp3_c_2050_121520",238,1191.31,703.56,470.71002,1125.37998
"tp3_c_2050_121520",318,1863.21002,1542.35007,1212.13999,1966.32
"tp3_c_2050_121520",329,6.29,3.02,1.7,5.91
"tp3_c_2050_121520",344,723.08002,730.53997,652.12,768.44
"tp3_c_2050_121520",345,128.86,130,117.59,135.75
