"A_merged_zone","inside_cordon","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"inside_cordon",0,14583.57886,6035.98486,1246.60962,2120.47504,2159.77148,28403.56445,5334.24719,1884.82983,4431.4873,1391.9552,230.21715,4298.73926,4432.86865,11764.1752
"zone_139",3442.06323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_140",9714.62304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_143",1053.89905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_145",3016.25573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_155",5863.62207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_156",18049.91016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_160",19612.57031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_164",5164.14454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_233",2941.78986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_237",5974.42822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_239",14612.17383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_244",5487.63867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_245",983.02319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_327",4432.84814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_333",1065.43457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
