"","A","B","RT_TYPE","DIRV_AM","DIRV_PM","A_subareaRP","B_subareaRP","scenario"
"77",723183,722882,1,11201.52734,3702.78442,0,2,"2019_base_122920"
"78",723650,724606,3,4369.73584,3742.68921,5,0,"2019_base_122920"
"79",724032,722735,2,4334.01172,4416.68115,0,3,"2019_base_122920"
"80",724456,728525,1,23972.2168,21294.9707,3,0,"2019_base_122920"
"81",724552,723472,3,2619.16211,4505.10791,0,5,"2019_base_122920"
"82",726744,727320,6,1097.98718,1194.48962,3,0,"2019_base_122920"
"83",727320,726744,6,1109.27332,1382.65527,0,3,"2019_base_122920"
"84",730515,724742,1,18938.80859,25431.57617,0,3,"2019_base_122920"
"85",139,722843,99,801.73047,906.13696,0,5,"tp1_bau_2050_121520"
"86",333,714045,99,1065.43457,850.76068,0,1,"tp1_bau_2050_121520"
"87",709158,710369,3,4432.84814,4432.41846,0,4,"tp1_bau_2050_121520"
"88",709631,713731,1,18049.91016,14668.92773,0,2,"tp1_bau_2050_121520"
"89",710320,710990,3,5974.42822,5083.83496,0,4,"tp1_bau_2050_121520"
"90",710369,709158,3,4432.86865,5507.60303,4,0,"tp1_bau_2050_121520"
"91",710966,710320,3,4431.4873,6230.59619,4,0,"tp1_bau_2050_121520"
"92",711306,711684,3,5863.62207,3256.61035,0,1,"tp1_bau_2050_121520"
"93",711499,711535,8,1652.31042,1599.52673,0,4,"tp1_bau_2050_121520"
"94",711535,711499,8,1416.7395,1711.90735,4,0,"tp1_bau_2050_121520"
"95",711814,711306,3,2159.77148,5696.13525,1,0,"tp1_bau_2050_121520"
"96",713723,713971,6,1978.72925,1112.27222,0,1,"tp1_bau_2050_121520"
"97",713749,715511,8,963.06061,1011.73883,0,2,"tp1_bau_2050_121520"
"98",713971,713723,6,659.30212,1902.25012,1,0,"tp1_bau_2050_121520"
"99",714045,333,99,418.75723,1091.43237,1,0,"tp1_bau_2050_121520"
"100",714063,714335,7,604.026,845.31073,4,0,"tp1_bau_2050_121520"
"101",714335,714063,7,854.11932,888.91406,0,4,"tp1_bau_2050_121520"
"102",714335,717024,6,509.82599,156.17334,0,5,"tp1_bau_2050_121520"
"103",715511,713749,8,1225.52771,1063.17676,2,0,"tp1_bau_2050_121520"
"104",715511,717143,6,230.21715,859.13165,2,0,"tp1_bau_2050_121520"
"105",717024,714335,6,99.70954,614.78156,5,0,"tp1_bau_2050_121520"
"106",717137,709650,1,11345.41797,18883.45117,1,0,"tp1_bau_2050_121520"
"107",717143,715511,6,983.02319,412.39005,0,2,"tp1_bau_2050_121520"
"108",718467,718620,6,1246.60962,1246.96619,5,0,"tp1_bau_2050_121520"
"109",718620,718467,6,1053.89905,1452.80957,0,5,"tp1_bau_2050_121520"
"110",720928,721585,3,5628.5415,6061.48926,0,5,"tp1_bau_2050_121520"
"111",721585,720928,3,6035.98486,6919.75586,5,0,"tp1_bau_2050_121520"
"112",721737,779011,3,8051.53564,5652.79053,5,0,"tp1_bau_2050_121520"
"113",722118,722193,8,1391.9552,4722.2627,2,0,"tp1_bau_2050_121520"
"114",722193,722118,8,5487.63867,2564.3064,0,2,"tp1_bau_2050_121520"
"115",722261,721615,3,4086.08154,9088.46582,0,5,"tp1_bau_2050_121520"
"116",722735,724032,2,4229.35986,4585.56885,3,0,"tp1_bau_2050_121520"
"117",722834,723129,1,4298.73926,14132.53613,2,0,"tp1_bau_2050_121520"
"118",722843,139,99,942.27759,897.46454,5,0,"tp1_bau_2050_121520"
"119",723183,722882,1,14612.17383,6744.19971,0,2,"tp1_bau_2050_121520"
"120",723650,724606,3,5589.76563,3666.04321,5,0,"tp1_bau_2050_121520"
"121",724032,722735,2,4256.7085,5528.37451,0,3,"tp1_bau_2050_121520"
"122",724456,728525,1,28403.56445,23267.66992,3,0,"tp1_bau_2050_121520"
"123",724552,723472,3,2640.33276,5594.13672,0,5,"tp1_bau_2050_121520"
"124",726744,727320,6,1104.88733,1088.68933,3,0,"tp1_bau_2050_121520"
"125",727320,726744,6,907.43604,1376.03564,0,3,"tp1_bau_2050_121520"
"126",730515,724742,1,19612.57031,28936.16211,0,3,"tp1_bau_2050_121520"
"127",139,722843,99,797.75751,911.16882,0,5,"tp1_c_2050_121520"
"128",333,714045,99,1046.06482,829.46594,0,1,"tp1_c_2050_121520"
"129",709158,710369,3,4229.85156,4495.5498,0,4,"tp1_c_2050_121520"
"130",709631,713731,1,17711.35742,14788.19336,0,2,"tp1_c_2050_121520"
"131",710320,710990,3,5985.07861,5101.68506,0,4,"tp1_c_2050_121520"
"132",710369,709158,3,4574.5415,5525.43311,4,0,"tp1_c_2050_121520"
"133",710966,710320,3,4471.03467,6348.5542,4,0,"tp1_c_2050_121520"
"134",711306,711684,3,5968.73682,3350.96826,0,1,"tp1_c_2050_121520"
"135",711499,711535,8,1604.28284,1594.44727,0,4,"tp1_c_2050_121520"
"136",711535,711499,8,1404.91663,1728.55078,4,0,"tp1_c_2050_121520"
"137",711814,711306,3,2353.47021,5849.55664,1,0,"tp1_c_2050_121520"
"138",713723,713971,6,1969.32251,1125.38196,0,1,"tp1_c_2050_121520"
"139",713749,715511,8,968.37445,1053.31409,0,2,"tp1_c_2050_121520"
"140",713971,713723,6,683.43408,1858.52234,1,0,"tp1_c_2050_121520"
"141",714045,333,99,426.00845,1011.23578,1,0,"tp1_c_2050_121520"
"142",714063,714335,7,655.51453,896.88287,4,0,"tp1_c_2050_121520"
"143",714335,714063,7,831.93616,935.34827,0,4,"tp1_c_2050_121520"
"144",714335,717024,6,558.08411,153.61421,0,5,"tp1_c_2050_121520"
"145",715511,713749,8,1217.74207,1116.02173,2,0,"tp1_c_2050_121520"
"146",715511,717143,6,236.8118,879.2981,2,0,"tp1_c_2050_121520"
"147",717024,714335,6,98.46694,578.14948,5,0,"tp1_c_2050_121520"
"148",717137,709650,1,11331.99219,18858.92383,1,0,"tp1_c_2050_121520"
"149",717143,715511,6,952.9032,443.91898,0,2,"tp1_c_2050_121520"
"150",718467,718620,6,1298.45947,1195.0105,5,0,"tp1_c_2050_121520"
"151",718620,718467,6,1079.41199,1397.99719,0,5,"tp1_c_2050_121520"
"152",720928,721585,3,5561.49756,6152.32227,0,5,"tp1_c_2050_121520"
"153",721585,720928,3,6025.41699,6965.75342,5,0,"tp1_c_2050_121520"
"154",721737,779011,3,8267.9248,5576.78564,5,0,"tp1_c_2050_121520"
"155",722118,722193,8,1424.03113,4417.4751,2,0,"tp1_c_2050_121520"
"156",722193,722118,8,5103.06738,2545.98145,0,2,"tp1_c_2050_121520"
"157",722261,721615,3,4106.41211,8942.06445,0,5,"tp1_c_2050_121520"
"158",722735,724032,2,4401.2207,4757.9248,3,0,"tp1_c_2050_121520"
"159",722834,723129,1,4398.59131,14008.05371,2,0,"tp1_c_2050_121520"
"160",722843,139,99,956.49646,891.12299,5,0,"tp1_c_2050_121520"
"161",723183,722882,1,14777.70313,6851.46533,0,2,"tp1_c_2050_121520"
"162",723650,724606,3,5673.13525,3728.84375,5,0,"tp1_c_2050_121520"
"163",724032,722735,2,4307.1416,5631.6958,0,3,"tp1_c_2050_121520"
"164",724456,728525,1,28733.36523,23500.50586,3,0,"tp1_c_2050_121520"
"165",724552,723472,3,2724.78857,5850.88965,0,5,"tp1_c_2050_121520"
"166",726744,727320,6,1275.37329,1152.00928,3,0,"tp1_c_2050_121520"
"167",727320,726744,6,902.59619,1383.7605,0,3,"tp1_c_2050_121520"
"168",730515,724742,1,19835.07813,29616.08203,0,3,"tp1_c_2050_121520"
"169",139,722843,99,808.29724,906.47632,0,5,"tp2_bau_2050_121520"
"170",333,714045,99,1037.45032,817.2677,0,1,"tp2_bau_2050_121520"
"171",709158,710369,3,4217.42627,4383.47656,0,4,"tp2_bau_2050_121520"
"172",709631,713731,1,19267.76563,15379.11914,0,2,"tp2_bau_2050_121520"
"173",710320,710990,3,5932.6582,5080.21436,0,4,"tp2_bau_2050_121520"
"174",710369,709158,3,4474.01025,5221.14014,4,0,"tp2_bau_2050_121520"
"175",710966,710320,3,4476.04248,6211.40234,4,0,"tp2_bau_2050_121520"
"176",711306,711684,3,5635.68604,3199.02197,0,1,"tp2_bau_2050_121520"
"177",711499,711535,8,1671.77808,1581.42395,0,4,"tp2_bau_2050_121520"
"178",711535,711499,8,1428.88293,1720.94263,4,0,"tp2_bau_2050_121520"
"179",711814,711306,3,2176.03711,5414.06592,1,0,"tp2_bau_2050_121520"
"180",713723,713971,6,2014.61487,1114.82983,0,1,"tp2_bau_2050_121520"
"181",713749,715511,8,946.31134,1033.6134,0,2,"tp2_bau_2050_121520"
"182",713971,713723,6,691.80804,1869.26501,1,0,"tp2_bau_2050_121520"
"183",714045,333,99,413.92172,986.42853,1,0,"tp2_bau_2050_121520"
"184",714063,714335,7,577.9325,914.46686,4,0,"tp2_bau_2050_121520"
"185",714335,714063,7,808.37274,873.54413,0,4,"tp2_bau_2050_121520"
"186",714335,717024,6,522.54779,170.16141,0,5,"tp2_bau_2050_121520"
"187",715511,713749,8,1232.6521,1012.10046,2,0,"tp2_bau_2050_121520"
"188",715511,717143,6,260.4707,890.81079,2,0,"tp2_bau_2050_121520"
"189",717024,714335,6,99.11021,587.83514,5,0,"tp2_bau_2050_121520"
"190",717137,709650,1,11589.99023,20836.08008,1,0,"tp2_bau_2050_121520"
"191",717143,715511,6,998.38062,429.63135,0,2,"tp2_bau_2050_121520"
"192",718467,718620,6,1367.1665,1149.89368,5,0,"tp2_bau_2050_121520"
"193",718620,718467,6,1145.27209,1358.2832,0,5,"tp2_bau_2050_121520"
"194",720928,721585,3,5512.47998,6227.80322,0,5,"tp2_bau_2050_121520"
"195",721585,720928,3,6029.64404,6947.92139,5,0,"tp2_bau_2050_121520"
"196",721737,779011,3,7858.23438,5539.96191,5,0,"tp2_bau_2050_121520"
"197",722118,722193,8,1382.34314,4552.15283,2,0,"tp2_bau_2050_121520"
"198",722193,722118,8,5425.3457,2460.15869,0,2,"tp2_bau_2050_121520"
"199",722261,721615,3,4161.72998,8754.98145,0,5,"tp2_bau_2050_121520"
"200",722735,724032,2,4239.71143,4314.0791,3,0,"tp2_bau_2050_121520"
"201",722834,723129,1,4280.10156,13767.91895,2,0,"tp2_bau_2050_121520"
"202",722843,139,99,945.16913,902.05219,5,0,"tp2_bau_2050_121520"
"203",723183,722882,1,14603.24121,6706.68652,0,2,"tp2_bau_2050_121520"
"204",723650,724606,3,5715.85693,3756.21924,5,0,"tp2_bau_2050_121520"
"205",724032,722735,2,4212.03271,5190.5752,0,3,"tp2_bau_2050_121520"
"206",724456,728525,1,29005.68164,23741.06836,3,0,"tp2_bau_2050_121520"
"207",724552,723472,3,2685.97192,5818.58936,0,5,"tp2_bau_2050_121520"
"208",726744,727320,6,1150.08398,1089.10193,3,0,"tp2_bau_2050_121520"
"209",727320,726744,6,926.76007,1364.74756,0,3,"tp2_bau_2050_121520"
"210",730515,724742,1,19953.92773,29712.23047,0,3,"tp2_bau_2050_121520"
"211",139,722843,99,801.6261,913.75171,0,5,"tp2_c_2050_121520"
"212",333,714045,99,999.38422,840.36127,0,1,"tp2_c_2050_121520"
"213",709158,710369,3,4158.37842,4596.27637,0,4,"tp2_c_2050_121520"
"214",709631,713731,1,19192.50391,15281.32227,0,2,"tp2_c_2050_121520"
"215",710320,710990,3,5948.82617,5081.05518,0,4,"tp2_c_2050_121520"
"216",710369,709158,3,4569.4541,5107.86719,4,0,"tp2_c_2050_121520"
"217",710966,710320,3,4577.0249,6244.51318,4,0,"tp2_c_2050_121520"
"218",711306,711684,3,5624.03564,3359.00684,0,1,"tp2_c_2050_121520"
"219",711499,711535,8,1639.36157,1626.84106,0,4,"tp2_c_2050_121520"
"220",711535,711499,8,1410.72607,1743.63757,4,0,"tp2_c_2050_121520"
"221",711814,711306,3,2371.68506,5350.99268,1,0,"tp2_c_2050_121520"
"222",713723,713971,6,1985.84985,1128.26685,0,1,"tp2_c_2050_121520"
"223",713749,715511,8,954.01648,959.24103,0,2,"tp2_c_2050_121520"
"224",713971,713723,6,702.49384,1783.87964,1,0,"tp2_c_2050_121520"
"225",714045,333,99,428.12592,877.95435,1,0,"tp2_c_2050_121520"
"226",714063,714335,7,639.10114,865.36792,4,0,"tp2_c_2050_121520"
"227",714335,714063,7,813.40649,913.18353,0,4,"tp2_c_2050_121520"
"228",714335,717024,6,554.71661,154.24585,0,5,"tp2_c_2050_121520"
"229",715511,713749,8,1211.35095,1023.36652,2,0,"tp2_c_2050_121520"
"230",715511,717143,6,259.51294,745.21252,2,0,"tp2_c_2050_121520"
"231",717024,714335,6,97.77746,579.71307,5,0,"tp2_c_2050_121520"
"232",717137,709650,1,11634.7832,21030.4375,1,0,"tp2_c_2050_121520"
"233",717143,715511,6,1003.32538,399.26321,0,2,"tp2_c_2050_121520"
"234",718467,718620,6,1332.20056,1243.14185,5,0,"tp2_c_2050_121520"
"235",718620,718467,6,1049.38306,1516.35303,0,5,"tp2_c_2050_121520"
"236",720928,721585,3,5610.14258,6094.27344,0,5,"tp2_c_2050_121520"
"237",721585,720928,3,5996.02197,6913.1748,5,0,"tp2_c_2050_121520"
"238",721737,779011,3,8169.47168,5745.36133,5,0,"tp2_c_2050_121520"
"239",722118,722193,8,1425.42981,4720.78369,2,0,"tp2_c_2050_121520"
"240",722193,722118,8,4964.31592,2588.01611,0,2,"tp2_c_2050_121520"
"241",722261,721615,3,4120.80566,8873.93652,0,5,"tp2_c_2050_121520"
"242",722735,724032,2,4364.31836,4386.17383,3,0,"tp2_c_2050_121520"
"243",722834,723129,1,4442.13818,14440.78906,2,0,"tp2_c_2050_121520"
"244",722843,139,99,954.78168,891.18634,5,0,"tp2_c_2050_121520"
"245",723183,722882,1,14420.48047,6857.86523,0,2,"tp2_c_2050_121520"
"246",723650,724606,3,5787.68799,3776.46606,5,0,"tp2_c_2050_121520"
"247",724032,722735,2,4291.82715,6324.3335,0,3,"tp2_c_2050_121520"
"248",724456,728525,1,29205.82031,23948.4668,3,0,"tp2_c_2050_121520"
"249",724552,723472,3,2727.41089,6116.45654,0,5,"tp2_c_2050_121520"
"250",726744,727320,6,1277.04297,1117.00806,3,0,"tp2_c_2050_121520"
"251",727320,726744,6,927.96912,1405.94128,0,3,"tp2_c_2050_121520"
"252",730515,724742,1,20177.51172,29829.12695,0,3,"tp2_c_2050_121520"
"253",139,722843,99,815.99799,913.9704,0,5,"tp3_bau_2050_121520"
"254",333,714045,99,951.99384,810.56207,0,1,"tp3_bau_2050_121520"
"255",709158,710369,3,4285.35889,4407.81055,0,4,"tp3_bau_2050_121520"
"256",709631,713731,1,19161.49414,15387.93848,0,2,"tp3_bau_2050_121520"
"257",710320,710990,3,5648.09668,4783.57373,0,4,"tp3_bau_2050_121520"
"258",710369,709158,3,4454.84473,5244.73047,4,0,"tp3_bau_2050_121520"
"259",710966,710320,3,4270.96143,5855.00391,4,0,"tp3_bau_2050_121520"
"260",711306,711684,3,5929.28027,3378.08301,0,1,"tp3_bau_2050_121520"
"261",711499,711535,8,1566.27747,1493.25562,0,4,"tp3_bau_2050_121520"
"262",711535,711499,8,1414.87134,1726.17993,4,0,"tp3_bau_2050_121520"
"263",711814,711306,3,2341.15308,5454.38867,1,0,"tp3_bau_2050_121520"
"264",713723,713971,6,1962.34839,1071.58179,0,1,"tp3_bau_2050_121520"
"265",713749,715511,8,988.39685,1015.56042,0,2,"tp3_bau_2050_121520"
"266",713971,713723,6,700.59766,1837.15259,1,0,"tp3_bau_2050_121520"
"267",714045,333,99,414.03064,1001.22375,1,0,"tp3_bau_2050_121520"
"268",714063,714335,7,406.85806,697.04303,4,0,"tp3_bau_2050_121520"
"269",714335,714063,7,773.09491,611.10046,0,4,"tp3_bau_2050_121520"
