"A_merged_zone","inside_cordon","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"inside_cordon",0,14296.56677,6031.21387,1309.88281,2074.49105,2030.89282,28773.93945,6137.23779,1874.34857,4477.92139,1322.86548,238.64064,4558.74951,4457.44922,12220.64029
"zone_139",3203.66097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_140",9679.60839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_143",1104.37305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_145",3017.18634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_155",5735.75732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_156",18990.94531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_160",19265.28711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_164",7107.28149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_233",2910.76368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_237",5987.00977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_239",14533.01465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_244",5158.91553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_245",953.42664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_327",4271.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_333",980.11377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
