"A_merged_zone","inside_cordon","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"inside_cordon",0,14769.61487,6048.48242,1511.0835,2152.47897,2341.15308,28449.65234,5335.55066,1922.8042,4270.96143,1372.48572,234.65823,4345.95752,4454.84473,11875.74255
"zone_139",3198.7165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_140",9933.55713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_143",1283.03845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_145",2943.37879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_155",5929.28027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_156",19161.49414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_160",19680.76758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_164",5239.92505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_233",2950.74524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_237",5648.09668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_239",14630.35938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_244",5343.77686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_245",994.80298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_327",4285.35889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_333",951.99384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
