F_TAZ,142,149,150,151,152,153,154,155,222,223,224,225,226,227,228,229,230,237,238,318,329,330,341,344,345
142,4.29,45.77,5.17,104.06,15.86,0.31,8.77,2.43,8.25,3.22,0.78,0.03,13.6,55.59,5.59,6.04,1.79,7.37,32.19,15.32,0.08,0.24,4.88,4.29,0.73
149,10.44,4.72,3.07,78.68,17.42,1.3,12.21,3.24,8.34,3.21,1.08,0.11,3.42,8.37,2.03,5.74,3.21,2.6,3,14.67,0.01,0.21,0.97,4.84,0.82
150,16.35,25.73,0.99,170.21,26.36,0.31,18.45,4.26,20.83,6.77,1.5,0.07,8.88,43.78,3.02,12.68,2.59,2.52,7.3,27.48,0.04,0.07,1.53,8.02,1.55
151,31.12,81.05,22.78,102.37,59.52,3.97,32.08,10.45,22.38,8.4,3.29,0.38,36.35,82.74,8.74,15.14,9.9,24.78,30.84,20.03,0.21,2.6,5.83,14.44,2.48
152,12.32,55.04,8.78,163.5,10.59,0.63,20.94,7.44,10.47,4.33,1.07,0.07,17.97,60.02,6.4,8.47,2.61,17.06,27.88,17.35,0.11,0.44,4.42,6.03,1.02
153,1.92,12.8,1.04,33.49,4.35,0.07,4.03,0.85,4.12,1.6,0.3,0.01,6.16,20.13,1.5,2.99,1.17,1.42,5.08,3.62,0.05,0.06,0.87,3.24,0.42
154,8.02,43.93,6.01,110.8,23.75,0.52,7.63,4.47,10.72,4.89,1.05,0.07,16.54,51.9,5.15,12.02,2.56,8.24,19.08,13.39,0.11,0.42,3.07,8.33,1.09
155,2.46,11.28,1.67,31.52,10.18,0.12,5.26,0.64,2.68,1.14,0.28,0.01,4.2,13.4,1.29,2.22,0.59,3,5.82,3.6,0.02,0.1,0.88,1.56,0.26
222,2.44,9.82,3.26,26.38,3.7,0.52,3.47,0.79,1.46,1.24,0.44,0.11,6.64,15.72,1.21,2.31,1.73,1.78,5.1,2.72,0.04,0.5,0.96,2.28,0.95
223,0.81,3.17,0.92,7.98,1.34,0.21,1.49,0.31,1.01,0.25,0.15,0.01,1.41,3.25,0.37,0.86,0.49,0.66,1.24,0.77,0.01,0.15,0.25,0.74,0.12
224,0.74,4.21,0.47,14.87,1.32,0.06,1.18,0.25,1.34,0.66,0.07,NA,1.97,6.48,0.53,1.08,0.22,0.52,1.58,1.45,0.01,0.04,0.29,0.76,0.13
225,0.17,0.93,0.11,2.9,0.29,NA,0.26,0.05,0.89,0.13,0.02,NA,0.68,2.19,0.11,0.23,0.05,0.1,0.36,0.25,NA,NA,0.07,0.15,0.05
226,3.67,3.39,1.43,35.12,7.23,0.85,5.19,1.25,5.52,1.41,0.52,0.08,1.37,5.22,0.4,3.16,1.89,1.21,1.03,4.26,0.01,0.15,0.35,2.71,0.55
227,14.7,8.19,9.42,78.71,21.29,3.82,15.64,3.77,12.39,3.25,1.83,0.39,5.22,7.02,0.91,6.75,7.71,3.76,2.64,10.26,0.02,1.05,0.89,7.48,1.63
228,1.35,1.99,0.37,8.32,2.21,0.16,1.52,0.39,1.02,0.37,0.13,0.01,0.4,0.91,0.08,0.73,0.39,0.34,0.35,1.4,NA,0.03,0.11,0.59,0.1
229,1.52,5.67,1.69,14.33,2.46,0.33,2.94,0.58,1.91,0.86,0.28,0.03,3.16,6.75,0.73,0.61,1.01,1.24,3.07,1.63,0.01,0.27,0.53,2.69,0.27
230,4.24,23.8,2.3,61.06,7.88,0.25,7.32,1.42,8.42,2.99,0.56,0.03,10.89,36.86,2.78,5.71,1.37,2.68,9.39,6.61,0.1,0.13,1.65,6.89,0.95
237,10.98,9.44,1.59,108.63,33.88,0.26,14.41,4.38,6.99,3.2,0.78,0.04,3.03,10.37,1.14,6.32,1.45,0.97,5.09,12.81,NA,0.05,0.92,4.13,0.69
238,8.3,3.58,1.03,35.93,11.08,0.86,6.84,2.05,5.05,1.46,0.46,0.05,1.2,3.61,0.42,3.48,1.87,1.82,1.32,6.14,NA,0.08,0.66,2.25,0.38
318,3.6,17.01,3.64,22.33,7.03,0.38,4.47,1.37,2.55,0.9,0.31,0.03,4.7,11.88,1.65,1.85,0.95,3.07,5.78,1.1,0.02,0.27,1.2,1.8,0.31
329,0.01,0.01,NA,0.2,0.03,NA,0.02,0.01,0.04,0.01,NA,NA,0.01,0.02,NA,0.01,0.01,NA,NA,0.01,NA,NA,NA,0.01,0.01
330,1.51,2.05,0.23,22.05,2.84,0.06,2.66,0.5,3.94,1.1,0.21,0.01,1.13,4.98,0.24,2.06,0.5,0.2,0.68,2.53,NA,0.02,0.17,1.33,0.38
341,1.86,1.52,0.33,9.67,2.06,0.13,1.42,0.38,1.22,0.39,0.12,0.01,0.47,1.4,0.16,0.81,0.36,0.29,0.91,1.81,NA,0.03,0.24,0.6,0.1
344,3.26,15.57,2.15,45.92,5.68,0.52,6.75,1.16,5.49,2.58,0.55,0.03,7.26,22.25,1.87,10.68,2.3,2.13,5.98,4.74,0.06,0.21,1.11,0.69,0.55
345,0.57,2.74,0.43,8.32,0.99,0.08,0.95,0.19,3.11,0.45,0.1,0.01,1.6,4.95,0.32,0.91,0.27,0.38,1.05,0.85,0.02,0.05,0.19,0.55,0.02
